HGNC_hg19,MGI_mm10,,,,,,
ABCA2,Abca2,,,,,,
ABCA3,Abca3,,,,,,
ABCA5,Abca5,,,,,,
ABCB9,Abcb9,,,,,,
ABCC10,Abcc10,,,,,,
ACMSD,Acmsd,,,,,,
ACP2,Acp2,,,,,,
ACP5,Acp5,,,,,,
ACPP,Acpp,,,,,,
ADA,Ada,,,,,,
ADAM8,Adam8,,,,,,
ADRB2,Adrb2,,,,,,
AGA,Aga,,,,,,
AHNAK,Ahnak,,,,,,
ALDOB,Aldob,,,,,,
AMBRA1,Ambra1,,,,,,
ANKFY1,Ankfy1,,,,,,
ANKRD27,Ankrd27,,,,,,
ANPEP,Anpep,,,,,,
ANXA11,Anxa11,,,,,,
AP1B1,Ap1b1,,,,,,
AP1G1,Ap1g1,,,,,,
AP1M1,Ap1m1,,,,,,
AP1M2,Ap1m2,,,,,,
AP1S1,Ap1s1,,,,,,
AP1S2,Ap1s2,,,,,,
AP1S3,Ap1s3,,,,,,
AP3B1,Ap3b1,,,,,,
AP3B2,Ap3b2,,,,,,
AP3D1,Ap3d1,,,,,,
AP3M1,Ap3m1,,,,,,
AP3M2,Ap3m2,,,,,,
AP3S1,Ap3s1,,,,,,
AP3S2,Ap3s2,,,,,,
AP4B1,Ap4b1,,,,,,
AP4E1,Ap4e1,,,,,,
AP4M1,Ap4m1,,,,,,
AP4S1,Ap4s1,,,,,,
AP5B1,Ap5b1,,,,,,
AP5Z1,Ap5z1,,,,,,
APOL1,Apol9a,,,,,,
APOL1,Apol10a,,,,,,
APOL1,Apol11a,,,,,,
APOL1,Apol10b,,,,,,
APOL1,Apol11b,,,,,,
APOL1,Apol9b,,,,,,
AQP2,Aqp2,,,,,,
ARF1,Arf1,,,,,,
ARL8A,Arl8a,,,,,,
ARL8B,Arl8b,,,,,,
ARNT,Arnt,,,,,,
ARRB1,Arrb1,,,,,,
ARSA,Arsa,,,,,,
ARSB,Arsb,,,,,,
ARSD,,,,,,,
ARSG,Arsg,,,,,,
ASAH1,Asah1,,,,,,
ASH1L,Ash1l,,,,,,
ASS1,Ass1,,,,,,
ASS1,Gm5424,,,,,,
ATF4,Atf4,,,,,,
ATF6,Atf6,,,,,,
ATG10,Atg10,,,,,,
ATG101,Atg101,,,,,,
ATG12,Atg12,,,,,,
ATG13,Atg13,,,,,,
ATG14,Atg14,,,,,,
ATG16L1,Atg16l1,,,,,,
ATG16L2,Atg16l2,,,,,,
ATG2A,Atg2a,,,,,,
ATG2B,Atg2b,,,,,,
ATG3,Atg3,,,,,,
ATG4A,Atg4a,,,,,,
ATG4B,Atg4b,,,,,,
ATG4C,Atg4c,,,,,,
ATG4D,Atg4d,,,,,,
ATG5,Atg5,,,,,,
ATG7,Atg7,,,,,,
ATG9A,Atg9a,,,,,,
ATG9B,Atg9b,,,,,,
ATIC,Atic,,,,,,
ATP11A,Atp11a,,,,,,
ATP11C,Atp11c,,,,,,
ATP13A2,Atp13a2,,,,,,
ATP6AP1,Atp6ap1,,,,,,
ATP6V0A1,Atp6v0a1,,,,,,
ATP6V0A2,Atp6v0a2,,,,,,
ATP6V0A4,Atp6v0a4,,,,,,
ATP6V0B,Atp6v0b,,,,,,
ATP6V0C,Atp6v0c,,,,,,
ATP6V0D1,Atp6v0d1,,,,,,
ATP6V0D2,Atp6v0d2,,,,,,
ATP6V1A,Atp6v1a,,,,,,
ATP6V1B1,Atp6v1b1,,,,,,
ATP6V1B2,Atp6v1b2,,,,,,
ATP6V1C1,Atp6v1c1,,,,,,
ATP6V1C2,Atp6v1c2,,,,,,
ATP6V1D,Atp6v1d,,,,,,
ATP6V1E1,Atp6v1e1,,,,,,
ATP6V1F,Atp6v1f,,,,,,
ATP6V1G1,Atp6v1g1,,,,,,
ATP6V1H,Atp6v1h,,,,,,
AZU1,,,,,,,
BAG1,Bag1,,,,,,
BAG3,Bag3,,,,,,
BAK1,Bak1,,,,,,
BAX,Bax,,,,,,
BCKDK,Bckdk,,,,,,
BCL10,Bcl10,,,,,,
BCL2,Bcl2,,,,,,
BCL2L1,Bcl2l1,,,,,,
BECN1,Becn1,,,,,,
BID,Bid,,,,,,
BIRC5,Birc5,,,,,,
BIRC6,Birc6,,,,,,
BLOC1S1,Bloc1s1,,,,,,
BNIP1,Bnip1,,,,,,
BNIP3,Bnip3,,,,,,
BNIP3L,Bnip3l,,,,,,
BST1,Bst1,,,,,,
BTD,Btd,,,,,,
C18orf8,3110002H16Rik,,,,,,
CALCOCO2,Calcoco2,,,,,,
CAMKK2,Camkk2,,,,,,
CANX,Canx,,,,,,
CAPN1,Capn1,,,,,,
CAPN10,Capn10,,,,,,
CAPN2,Capn2,,,,,,
CAPNS1,Capns1,,,,,,
CASP1,Casp1,,,,,,
CASP3,Casp3,,,,,,
CASP4,Casp4,,,,,,
CASP8,Casp8,,,,,,
CAT,Cat,,,,,,
CCDC115,Ccdc115,,,,,,
CCDC62,Ccdc62,,,,,,
CCKAR,Cckar,,,,,,
CCL2,Ccl2,,,,,,
CCR2,Ccr2,,,,,,
CCR2,Ccr5,,,,,,
CCZ1,Ccz1,,,,,,
CCZ1B,Ccz1,,,,,,
CD164,Cd164,,,,,,
CD1B,,,,,,,
CD1D,Cd1d2,,,,,,
CD1D,Cd1d1,,,,,,
CD1E,,,,,,,
CD46,Cd46,,,,,,
CD63,Cd63,,,,,,
CD68,Cd68,,,,,,
CD74,Cd74,,,,,,
CDKN1A,Cdkn1a,,,,,,
CDKN1B,Cdkn1b,,,,,,
CDKN2A,Cdkn2a,,,,,,
CECR1,,,,,,,
CFLAR,Cflar,,,,,,
CFLAR,Gm9845,,,,,,
CHID1,Chid1,,,,,,
CHIT1,Chit1,,,,,,
CHMP2B,Chmp2b,,,,,,
CHMP4B,Chmp4b,,,,,,
CLCN5,Clcn5,,,,,,
CLCN6,Clcn6,,,,,,
CLCN7,Clcn7,,,,,,
CLN3,Cln3,,,,,,
CLN5,Cln5,,,,,,
CLTA,Clta,,,,,,
CLTB,Cltb,,,,,,
CLTC,Cltc,,,,,,
CLTCL1,,,,,,,
CLU,Clu,,,,,,
COA7,Selrc1,,,,,,
COL6A1,Col6a1,,,,,,
CP,Cp,,,,,,
