TargetID	TargetLocation
Atp6v1h_1945	chr1:004783173-5462549
Atp6v1h_2325	chr1:004783173-5462549
Atp6v1h_2326	chr1:004783173-5462549
Atp6v1h_2327	chr1:004783173-5462549
Atp6v1h_2328	chr1:004783173-5462549
Atp6v1h_2330	chr1:004783173-5462549
Atp6v1h_2331	chr1:004783173-5462549
Atp6v1h_2341	chr1:004783173-5462549
Atp6v1h_2342	chr1:004783173-5462549
Atp6v1h_2343	chr1:004783173-5462549
Atp6v1h_2353	chr1:004783173-5462549
Atp6v1h_2354	chr1:004783173-5462549
Atp6v1h_2421	chr1:004783173-5462549
Atp6v1h_2468	chr1:004783173-5462549
Atp6v1h_2483	chr1:004783173-5462549
Atp6v1h_2581	chr1:004783173-5462549
Atp6v1h_2649	chr1:004783173-5462549
Atp6v1h_2804	chr1:004783173-5462549
Atp6v1h_2822	chr1:004783173-5462549
Atp6v1h_2854	chr1:004783173-5462549
Atp6v1h_3014	chr1:004783173-5462549
Atp6v1h_3113	chr1:004783173-5462549
Rb1cc1_2129	chr1:005906197-6576648
Rb1cc1_2327	chr1:005906197-6576648
Rb1cc1_2328	chr1:005906197-6576648
Rb1cc1_2350	chr1:005906197-6576648
Rb1cc1_2388	chr1:005906197-6576648
Rb1cc1_2389	chr1:005906197-6576648
Rb1cc1_2390	chr1:005906197-6576648
Rb1cc1_2391	chr1:005906197-6576648
Rb1cc1_2393	chr1:005906197-6576648
Rb1cc1_2395	chr1:005906197-6576648
Rb1cc1_2495	chr1:005906197-6576648
Rb1cc1_2508	chr1:005906197-6576648
Rb1cc1_2539	chr1:005906197-6576648
Rb1cc1_2586	chr1:005906197-6576648
Rb1cc1_2618	chr1:005906197-6576648
Rb1cc1_2651	chr1:005906197-6576648
Rb1cc1_2652	chr1:005906197-6576648
Rb1cc1_2653	chr1:005906197-6576648
Rb1cc1_2676	chr1:005906197-6576648
Rb1cc1_2720	chr1:005906197-6576648
Rb1cc1_2721	chr1:005906197-6576648
Rb1cc1_2765	chr1:005906197-6576648
Rb1cc1_2766	chr1:005906197-6576648
Rb1cc1_2812	chr1:005906197-6576648
Rb1cc1_2813	chr1:005906197-6576648
Rb1cc1_2821	chr1:005906197-6576648
Rb1cc1_2827	chr1:005906197-6576648
Rb1cc1_2904	chr1:005906197-6576648
Rb1cc1_2905	chr1:005906197-6576648
Rb1cc1_2906	chr1:005906197-6576648
Rb1cc1_2982	chr1:005906197-6576648
Lmbrd1_1978	chr1:024378544-25066299
Lmbrd1_1982	chr1:024378544-25066299
Lmbrd1_1983	chr1:024378544-25066299
Lmbrd1_2196	chr1:024378544-25066299
Lmbrd1_2289	chr1:024378544-25066299
Lmbrd1_2291	chr1:024378544-25066299
Lmbrd1_2292	chr1:024378544-25066299
Lmbrd1_2295	chr1:024378544-25066299
Lmbrd1_2314	chr1:024378544-25066299
Lmbrd1_2315	chr1:024378544-25066299
Lmbrd1_2316	chr1:024378544-25066299
Lmbrd1_2321	chr1:024378544-25066299
Lmbrd1_2322	chr1:024378544-25066299
Lmbrd1_2323	chr1:024378544-25066299
Lmbrd1_2324	chr1:024378544-25066299
Lmbrd1_2325	chr1:024378544-25066299
Lmbrd1_2326	chr1:024378544-25066299
Lmbrd1_2329	chr1:024378544-25066299
Lmbrd1_2349	chr1:024378544-25066299
Lmbrd1_2350	chr1:024378544-25066299
Lmbrd1_2357	chr1:024378544-25066299
Lmbrd1_2373	chr1:024378544-25066299
Lmbrd1_2406	chr1:024378544-25066299
Lmbrd1_2430	chr1:024378544-25066299
Lmbrd1_2433	chr1:024378544-25066299
Lmbrd1_2434	chr1:024378544-25066299
Lmbrd1_2456	chr1:024378544-25066299
Lmbrd1_2476	chr1:024378544-25066299
Lmbrd1_2477	chr1:024378544-25066299
Lmbrd1_2481	chr1:024378544-25066299
Lmbrd1_2482	chr1:024378544-25066299
Lmbrd1_2491	chr1:024378544-25066299
Lmbrd1_2508	chr1:024378544-25066299
Lmbrd1_2513	chr1:024378544-25066299
Lmbrd1_2527	chr1:024378544-25066299
Lmbrd1_2535	chr1:024378544-25066299
Lmbrd1_2547	chr1:024378544-25066299
